text,target
What treats can I use?,Not Dark Pattern
We curate the very best in creative and innovative fashion for the EDM Lifestyle. ,Not Dark Pattern
Only 20 left,Scarcity
 Terms of Service ,Not Dark Pattern
Upright Plants,Not Dark Pattern
Your one-time offer! Enjoy 10% off sitewide. Applied at checkout Offer ends in: 04 hrs 37 min 56 sec,Urgency
Your purchase entitles you to the following special,Misdirection
 Brass Shankh ,Not Dark Pattern
2 people are looking right now,Social Proof
Boys Shorts,Not Dark Pattern
IN HIGH DEMAND!,Scarcity
Low Stock Only 2 left,Scarcity
Anaheim DucksArizona CoyotesCalgary FlamesChicago BlackhawksColorado AvalancheDallas StarsEdmonton OilersLos Angeles KingsMinnesota Wild,Not Dark Pattern
Blankets Throws,Not Dark Pattern
Shop Disposables,Not Dark Pattern
 Free Delivery to Home¬†& Next day delivery available to store* ,Not Dark Pattern
Limited-time Deal,Scarcity
Limited time - Free Shipping on all orders*,Urgency
Surgical & Face Masks,Not Dark Pattern
Hurry! Only 4 left in stock.,Scarcity
"No thanks, I despise coupons!",Misdirection
Shop Men's Styles,Not Dark Pattern
"If you are one of those constantly devoted to healthy eating, weight loss plans,..",Not Dark Pattern
"JULIE in Oak Brook, United States purchased a Watercolor Brush Pens 24 Refillable Colors with Travel Case about 10 hours ago",Social Proof
"For a limited time, buy 2 Hydroxycut Hardcore Elite, 30 Servings for $30!",Urgency
(5 Left),Scarcity
 Choosing the Best Plus Size Briefs ,Not Dark Pattern
FREE SHIPPING FOR A LIMITED TIME | PRICES ARE IN USD AND INCLUDE ALL IMPORT DUTIES.,Urgency
 Cable Winders ,Not Dark Pattern
TSX Remotes,Not Dark Pattern
Only 3 Left In Stock,Scarcity
Baby Bathtubs,Not Dark Pattern
Only 14 left,Scarcity
33 people are eyeing this item!,Social Proof
"Nice choice. Did you know you‚Äôre missing out on these deals with the item in your cart. Suit + Shirt + Tie now $599.99* - Shop Suits, Shirts and Ties Or Get 2 Suit Packages for $1100*",Misdirection
"No thanks, I don't like saving money",Misdirection
Only 1 Left in Stock. Buy Soon!,Scarcity
19 people have viewed this item,Social Proof
Crossman Air Pistols,Not Dark Pattern
"No Thanks, I'd Rather Pay Full Price",Misdirection
Harry Potter ,Not Dark Pattern
FilterSortFeaturedPrice: Low to HighPrice: High to LowAlphabetical: A-ZAlphabetical: Z-A,Not Dark Pattern
We only have 8.0000 left in Stock,Scarcity
"Hurry, Sale ends in 9 Hours!",Urgency
Jewelry Care Kit,Not Dark Pattern
Give a Gift,Not Dark Pattern
 First name * ,Not Dark Pattern
166 people have added this item to cart,Social Proof
LIMITED TIME LEFT! 00 : 46 : 11,Urgency
Speak with our customer-care executive who will help you with your buying.,Not Dark Pattern
Mechanic's Wear,Not Dark Pattern
Please note: we do not ship to PO Boxes,Not Dark Pattern
"Michael M. from Lacey, WA just bought a Cal King",Social Proof
"Products are automatically delivered on your schedule. No obligation, modify or cancel your subscription anytime. ",Not Dark Pattern
There are only 1 item left in stock.,Scarcity
Free Shipping*,Not Dark Pattern
"Crystals are alive. Born inside Mother Earth, crystal energy can be felt just like heat or cold. For chakra training to astrological remedies, discover healing crystals.",Not Dark Pattern
A-Z Luxury Brands,Not Dark Pattern
ALMOST GONE - only 2 remaining!,Scarcity
Offer ends in 03 days 19 hours : 54 mins : 22 secs,Urgency
Over 200 views in 24 hrs,Social Proof
"Hurry, only 302 left.",Scarcity
Shotgun Bore Mops,Not Dark Pattern
POPULAR 64 others checked this out in the last few hours.,Social Proof
ONLY 5 LEFT IN STOCK,Scarcity
"No thanks, I hate saving money",Misdirection
Moroccan Rugs,Not Dark Pattern
ONLY AVAILABLE FOR A LIMITED TIME,Urgency
 Sprouting ,Not Dark Pattern
Help us #savethefishies.,Not Dark Pattern
5 items left,Scarcity
This product was viewed 26 seconds ago by someone from Princeton,Social Proof
ONLY 1 ITEM LEFT!,Scarcity
ONLY 11 LEFT,Scarcity
Only a few left of this product!,Scarcity
JFN Scallop V Neck Solid Casual T-Shirt/Tee,Not Dark Pattern
Purchased 6 times this week.,Social Proof
Crochet Baby Patterns,Not Dark Pattern
Felizer Designer Diamond studded Round Dial Metal starp watch for Women & Girls - Silver (Heart design) Analog,Not Dark Pattern
 Home / Black Tapered Belted Cigarette Trousers - Myasia ,Not Dark Pattern
Only 4 left at this price,Scarcity
"Once a celebrated author of short stories now in his twilight years, ",Not Dark Pattern
Recent Searches,Not Dark Pattern
 Brand case & cloth included ,Not Dark Pattern
Hair Color + Highlights,Not Dark Pattern
"We combined powerful, yet gentle acne-fighting ingredients with our own unique plant-based complexes to help reduce irritation and redness associated with acne and breakouts. The result? Skin that‚Äôs nourished, smooth, and most importantly, clear!",Not Dark Pattern
"Only 2 left, order soon",Scarcity
 Food ,Not Dark Pattern
MORE WAYS TO SHOP,Not Dark Pattern
Your shopping cart is empty.,Not Dark Pattern
Coin Necklace ,Not Dark Pattern
Mallet E Speed Lace - Black/Silver,Not Dark Pattern
"Someone from Huntingtown, Maryland, United States purchased TopCoat¬Æ F11¬Æ Polish & Sealer - Web Special Kits Just Now",Social Proof
Items in your cart are in VERY high-demand.,Scarcity
Sign up to our mailing list here and be the first to know about exclusive offers and events,Not Dark Pattern
Items in your cart are selling fast,Scarcity
"No thanks, I don't like winning.",Misdirection
Laundry Care,Not Dark Pattern
Low in stock: only 2 left.,Scarcity
Deal Ends In 2 : DAYS13 : HRS10 : MIN24 SEC,Urgency
"Order soon, only 1 left!",Scarcity
This campaign was taken down for content reasons,Not Dark Pattern
"Hurry, only 2 left in stock!",Scarcity
AdjustableSnapbacksSale Items- View All -,Not Dark Pattern
ONLY 5 LEFT IN STOCK!,Scarcity
Over 238 people have bought this product,Social Proof
Order in 13:16 to get $200 off your mattress,Urgency
 Bob Ross Oil Brushes ,Not Dark Pattern
"No Thanks, I'd rather pay full price",Misdirection
Terra - Medium Brown,Not Dark Pattern
Warning: Last items in stock!,Scarcity
Work With More Buyers And Sellers?,Not Dark Pattern
 Lighting,Not Dark Pattern
 Round Neck Casual Loose Patchwork Printed Short Sleeve Blouse ,Not Dark Pattern
39 recently purchased it,Social Proof
Limited Time Offer: 10% Off your first order!,Urgency
Computer Accessories,Not Dark Pattern
Aromatherapy¬†,Not Dark Pattern
A Ritual of Light,Not Dark Pattern
Hurry only 2 left,Scarcity
21 people looked at this during the last 24 hours,Social Proof
Black Jeans,Not Dark Pattern
Build your own powerful multi-vendor marketplace website,Not Dark Pattern
"Items in your cart are in high demand, but we have reserved your order.",Scarcity
167 piece(s) left for this promo,Scarcity
"No Thanks, I don't like free stuff.",Misdirection
Only 32 left in stock,Scarcity
Less than 10 left!,Scarcity
CUSTOMER SERVICE,Not Dark Pattern
Hurry! Sale ends in:,Urgency
NRA Firearms For Freedom,Not Dark Pattern
Low in stock,Scarcity
Availability: Only 1 Left,Scarcity
 Printed Long Sleeves Casual Blouse For Women ,Not Dark Pattern
Straight Hair Extensions,Not Dark Pattern
Radio and GPS Pouches,Not Dark Pattern
Only 3 left!,Scarcity
Only 4 unit(s) available!,Scarcity
Anniversary Gifts by Year,Not Dark Pattern
All Scrapbooking Supplies,Not Dark Pattern
"No USB or Y-Adapter!? Our USB Sound Card is highly recommended for PC (Mac/Linux/Windows) and works with current gen consoles. The Y adapter is recommended for console gaming, phone, or other TRRS jacks.",Misdirection
 New In,Not Dark Pattern
146 people recently purchased this.,Social Proof
Only 25 Deals left,Scarcity
HOW TO MANAGE SIDE EFFECTS,Not Dark Pattern
Website Accessibility,Not Dark Pattern
 Item added to cart. View cart and check out. Close ,Not Dark Pattern
Heat Mats & Strips,Not Dark Pattern
HURRY! YOUR 10% OFF EXPIRES IN 29:43,Urgency
3 people bought this item last week.,Social Proof
 Share on Pinterest ,Not Dark Pattern
Only 8 left in stock,Scarcity
Hurry! This special sale ends in 2h 42m 0s,Urgency
Hype. Home,Not Dark Pattern
VIP OFFERS END 00:54:59,Urgency
"Roommates agreement... need i say more? this is a great poster for the walls of any house that has more than one person living in it. if you're alone, get it all the same - it'll make you laugh at any given time :)",Not Dark Pattern
This is how you can reject or delete your cookies,Not Dark Pattern
Ericdress Round Neck Three-Quarter Sleeve Mid-Calf Pullover Fall Women's Dress,Not Dark Pattern
 Email Address ,Not Dark Pattern
Your cart is reserved for 14:57 minutes!,Urgency
"No thanks, I don't want any deals",Misdirection
Toddler Boy Underwear and Undershirts,Not Dark Pattern
Collegiate Shooting Programs,Not Dark Pattern
ONLY 1 ITEM LEFT,Scarcity
01 Hours 37 Minutes 48 Seconds 1/10s,Urgency
 Supporting All Artists Create because you can ,Not Dark Pattern
HomeFlowersColourful Mixed Roses Bouquet,Not Dark Pattern
Send as giftexpand_more,Not Dark Pattern
Delivery & Returns,Not Dark Pattern
Only: 9 in stock now,Scarcity
"Only 3 left , In Stock",Scarcity
Livefood Subscription,Not Dark Pattern
Grocery & Liquor,Not Dark Pattern
 For Wife ,Not Dark Pattern
"UP TO 60% OFF SPRING SALE PLUS 10% OFF ALL SHOWERS ENTER CODE SHOWERS10 AT CHECKOUT, MUST END TUESDAY 02DAYS  :  04HOURS  :  13MINS  :  28SECS",Urgency
Great for keeping track of your pup while at work,Not Dark Pattern
 Subscribe ,Not Dark Pattern
Powered by,Not Dark Pattern
JerseysPantsSleepwear & UnderwearSwim CollectionT-ShirtsSale Items- View All -,Not Dark Pattern
"Hurry, Only a few left!",Scarcity
 I love this phone case! üòç #phonecase #hiraeth #appleiphone #apple #rosegold #loveit ,Not Dark Pattern
ONLY 1 LEFT IN THIS SIZE,Scarcity
Looking for your order history?,Not Dark Pattern
Only 82 left in stock!,Scarcity
Readers looking for some old-fashioned storytelling with a sprinkling of magic will find it here. ,Not Dark Pattern
Traditional Snacks,Not Dark Pattern
 Travel Accessories ,Not Dark Pattern
eWriters & Graphics Tablets,Not Dark Pattern
 EU Delivery & Returns ,Not Dark Pattern
LIMITED TIME OFFER MEN'S CHINOS & 5-POCKET PANTS BUY 2 FOR $59.90 EACH SHOP NOW,Urgency
Your order will be reserved for 6:56 minutes.,Urgency
LESS THAN 8 LEFT IN STOCK!,Scarcity
 United States ,Not Dark Pattern
Limited Time Sale - Buy Now!,Urgency
 Mobile Terms of Use ,Not Dark Pattern
 ALL SALE ,Not Dark Pattern
MyStore,Not Dark Pattern
JUST 1 LEFT!,Scarcity
"Don't snooze, only 1 left",Scarcity
"Don't miss out, only 2 left in stock",Scarcity
"Someone from Rochedale, Queensland, Australia started buying this!",Social Proof
 Please click ,Not Dark Pattern
 Box Springs & Foundations,Not Dark Pattern
Countdown,Not Dark Pattern
Men's Pullover Sweaters,Not Dark Pattern
 Tony Bianco ,Not Dark Pattern
 LOGO BLACK ,Not Dark Pattern
Everything was perfect. The delivery was very smooth and the products were in great condition as well.,Not Dark Pattern
 Face Masks,Not Dark Pattern
LIMITED TIME OFFER!,Urgency
Low In Stock Today,Scarcity
Lenscap: Damage Only,Misdirection
With 1-year Care Subscription 10 days history,Misdirection
About Ruth Hogan,Not Dark Pattern
Don't miss out on this item! There is only 1 left in stock.,Scarcity
"NO, THANKS. I DON'T LIKE DISCOUNTS ",Misdirection
"No thanks, I'd rather pay full price.",Misdirection
Wait! Take 10% off Your First Order Deal Expires Soon!,Urgency
Diamond Nose Studs,Not Dark Pattern
Perhaps you could...,Not Dark Pattern
Limited Time Only! 20% Off,Urgency
"Hurry, only 2 left in stock",Scarcity
 Casual V-Neck Sleeveless T-Shirt ,Not Dark Pattern
 Businesses in the EU buying from a business in the same country are also charged VAT.,Not Dark Pattern
"Someone in Flemington, United States purchased Anti-Aging Eyelid Tape (Contains 100 Strips) Just now",Social Proof
Hurry only 8 items left!,Scarcity
 Shop ,Not Dark Pattern
Someone in United States just purchased a,Social Proof
LIMITED TIME: $10 OFF! DISCOUNT REFLECTED IN PRICE!,Urgency
 Rechargeable ,Not Dark Pattern
 Redeem Gift Certificates ,Not Dark Pattern
Hurry! 1 items left!,Scarcity
Muc-Off,Not Dark Pattern
Frequently Asked Questions,Not Dark Pattern
We value your input. Share your review so everyone else can enjoy it too.,Not Dark Pattern
"Someone in Byron Bay, NSW just bought",Social Proof
Last 1 left,Scarcity
Limited quantity available,Scarcity
 ‡•ê Welcome to Devshoppe Sign In or Create an Account ,Not Dark Pattern
Code of Conduct,Not Dark Pattern
Macro Focussing Rails,Not Dark Pattern
Tactical Rifles,Not Dark Pattern
Bottoms Deals,Not Dark Pattern
Checkout within 04:10 so we don't run out of stock!,Urgency
"3,081 people have viewed this item",Social Proof
 Champagne Taittinger ,Not Dark Pattern
Hurry! Only 7 left,Scarcity
"19,302 people have added this item to cart",Social Proof
"Howdy stranger, looks like your trail has hit a dead end.",Not Dark Pattern
 Maker Faire News ,Not Dark Pattern
31 people seeing this product right now,Social Proof
3 other people are currently viewing this item.,Social Proof
Favored By: 400 people!,Social Proof
 All Shoes ,Not Dark Pattern
 What's New New arrivals daily ,Not Dark Pattern
143 BOUGHT,Social Proof
WARNING! Only 5 left in stock!,Scarcity
"No thanks, I've got too much cool Glock stuff!",Misdirection
43 added to bag in the last 48hrs,Social Proof
67% offers claimed. Hurry up!,Scarcity
Party & Birthday Novelties,Not Dark Pattern
 Temple Locks ,Not Dark Pattern
Sara from Philadelphia just saved $68 on her order.,Social Proof
17 people have viewed this wine today,Social Proof
 Data Processor: Amobee ,Not Dark Pattern
new merch coming soon,Not Dark Pattern
Prices subject to change without notice. Products shown may not be available in our stores.,Not Dark Pattern
Add your favourites to cart,Not Dark Pattern
Free Shipping On Orders Over $49* - Limited Time Only,Urgency
"Someone in DOVER, United States just bought Crew 15 mins ago",Social Proof
 Payment Methods ,Not Dark Pattern
 Also notify me about New Arrivals! ,Not Dark Pattern
POSTED BY @missladywoolf#motoin,Not Dark Pattern
 All Personalised Gifts ,Not Dark Pattern
HURRY! ONLY 19 LEFT IN STOCK.,Scarcity
Massive Tax Time Sale See Discounts! Sale ends in,Urgency
Special sale ends in,Urgency
"By clicking ‚ÄúAccept All Cookies‚Äù, you agree to the storing of cookies on your device to enhance site navigation, analyze site usage, and assist in our marketing efforts. ",Not Dark Pattern
Sorry! This product is no longer available,Not Dark Pattern
Brand: Ray-Ban¬Æ | Similar products from Ray-Ban¬Æ,Not Dark Pattern
"No thanks, free stuff isn't for me.",Misdirection
Only 2 Left,Scarcity
 Colored Contact Lenses ,Not Dark Pattern
"Isra√´l in Metz, France purchased a More ADVANCED Chord Substitutions",Social Proof
In stock | 44 left,Scarcity
only 7 pieces left,Scarcity
Download Now,Not Dark Pattern
Beach Towels & Mats,Not Dark Pattern
ENDS IN - Flash Offer - TWO PAIRS OF SHOES FOR $319 PROMO CODE AUTO-APPLIED AT CHECKOUT! 0 Days : 16 Hours : 09 Minutes : 57 Seconds,Urgency
"Hurry, limited quantities left!",Scarcity
Light Works,Not Dark Pattern
"Both of these jerseys are awesome, I couldn‚Äôt have asked for better quality.",Not Dark Pattern
Only 14 left!,Scarcity
"NO THANKS, I DON'T WANT 20% OFF MY ORDER",Misdirection
I already have this item. Do not add this to cart,Misdirection
Security Cameras,Not Dark Pattern
Cross Body,Not Dark Pattern
" -- Preeti Shenoy, author of THE RULE BREAKERS",Not Dark Pattern
Royal Python Vivariums,Not Dark Pattern
Stone Island Junior,Not Dark Pattern
ONLY 1 LEFT!,Scarcity
 Sustainably made,Not Dark Pattern
Bob's For Business,Not Dark Pattern
"We'd love to send you emails with offers and new products from New Balance Athletics, Inc. but if you do not wish to receive these updates, please tick this box.",Misdirection
Boys Green School Uniforms,Not Dark Pattern
 Show Password ,Not Dark Pattern
Pay Securely with Trespass,Not Dark Pattern
Limited Stock!,Scarcity
 adidas Originals Stan Smith ,Not Dark Pattern
"LIMITED TIME - BUY THE NEW PURPLE PLUSH PILLOW, GET ONE FREE",Urgency
 Functional Marketing Cookies,Not Dark Pattern
Limited Time Offers,Urgency
Someone in Bacchus Marsh bought a Noosa Basics Deodorant Stick - Sensitive (60g) 27 seconds ago,Social Proof
436 users are currently active on our website Just now,Social Proof
Sale Coats and Jackets,Not Dark Pattern
Shop By Brands,Not Dark Pattern
Did you know that Shaver heads need replacing every 12 - 18 months? Get the Shaver Guard cleaning spray to extend its life for up to another 6 months!,Misdirection
ROAD CLOTHING,Not Dark Pattern
"No thanks, I don't want to build one.. I'd rather kick rocks!",Misdirection
 Menstrual Products ,Not Dark Pattern
4 SEATS LEFT,Scarcity
Someone in Keilor East bought a Piranta-Edge Skinning Knife - Blaze - Havalon Knives54 minutes ago,Social Proof
Shoes & Clothing,Not Dark Pattern
Imported,Not Dark Pattern
Will sell out fast!,Scarcity
Get it fast! 14 added to bag today,Social Proof
Herbaceous oil rich in anti-aging polyphenols.,Not Dark Pattern
HURRY! LESS THAN 129 LEFT.,Scarcity
"Ken in Three Bridges, United States purchased All Zebrawood + Olive Ash",Social Proof
Only 3 left in stock,Scarcity
We only have 5 left!,Scarcity
"Nah, I like paying full price",Misdirection
2 people have looked at this in the last couple of hrs.,Social Proof
Real time 30 Visitor right now,Social Proof
Drawstring Backpacks,Not Dark Pattern
Please note all products are made in limited quantities and we rarely restock - checkout now so you don't miss out!,Scarcity
"No thanks, I don't like getting free stuff.",Misdirection
THIS PRODUCT HAS BEEN VIEWED 480 TIMES IN THE LAST 48 HOURS,Social Proof
HURRY! ONLY 2 LEFT!,Scarcity
Less than 7 left!,Scarcity
BOTTLES LEFT 3,Scarcity
Items reserved for 15:00,Urgency
ONLY 4 LEFT!,Scarcity
-90% discount if you order within 9:55:44,Urgency
 Latest looks from Myleene Klass Shop now ,Not Dark Pattern
Only 9 left in stock,Scarcity
ADD FOR BETTER RESULTS,Misdirection
 Affiliate ,Not Dark Pattern
Auto Delivery Program,Not Dark Pattern
Save $148.98AUD ‚Äì 49% Off,Misdirection
Low Stock ‚Äì Selling Fast,Scarcity
2 PEOPLE HAVE ADDED THIS ITEM TO THEIR CART TODAY,Social Proof
Only 6 left,Scarcity
Pro Boost Treatments,Not Dark Pattern
Baby Nursing & Feeding,Not Dark Pattern
4 bought in the last 24 hours.,Social Proof
We're offline,Not Dark Pattern
12 customers viewed this product today!,Social Proof
 Gemstone softwares ,Not Dark Pattern
Graphic Tanks,Not Dark Pattern
LOW STOCK (ONLY 10 LEFT!),Scarcity
"JOHN in Toowoomba City, Australia purchased a Resin Tank 7 hours ago",Social Proof
 V-neck Printed Loose Short-sleeved T-shirt ,Not Dark Pattern
Limited Time Only ¬∑ Online Only,Urgency
 Teething Remedies ,Not Dark Pattern
Partnerships,Not Dark Pattern
Accord remotes,Not Dark Pattern
72 Viewing This Product,Social Proof
Something went wrong. Please try again,Not Dark Pattern
 Coloured Pencils ,Not Dark Pattern
Only 1 left in stock!,Scarcity
Only 9 units left in stock online.,Scarcity
Feeding Nightwear,Not Dark Pattern
 Gift Card FAQs ,Not Dark Pattern
Someone in Canberra purchased\nADV.2 (Austracantha) about 41 minutes ago,Social Proof
Ducted Vacuum Cleaners,Not Dark Pattern
Work Solid Simple Crew Neck Half Sleeve Top,Not Dark Pattern
"No thank you, I prefer to pay for shipping.",Misdirection
White Plus Size Clothing,Not Dark Pattern
"No thanks, I don't like exclusive offers",Misdirection
273 units sold in the last 30 days,Social Proof
"No thanks, I'll just pay full price.",Misdirection
"No, I'd rather do it the hard way...",Misdirection
User interface customization persistent cookies are used to store a user‚Äôs preference regarding a service. Please note that these cookies are exempt from consent.,Not Dark Pattern
"After getting my jersey on Monday, I am hooked on CoolHockey. I will surely be buying from CoolHockey from now on.",Not Dark Pattern
Congratulations! You qualify to receive Rechargeable 10-Function Bullet Vibe for FREE!,Misdirection
Other 2 customers have it in their cart.,Social Proof
Elegant A Line Chiffon V-neck Long Sleeve Bridesmaid Dress with Pleats and Ruching,Not Dark Pattern
White Camo Windbreaker - Rock N' Roll,Not Dark Pattern
xB Remotes,Not Dark Pattern
 Football Boots ,Not Dark Pattern
Selling fast! Add to bag 7 times in the last 48 hours.,Social Proof
Only 2 items left,Scarcity
"Marc in Newton, United States purchasedKTM Stand Plate Large KTM...",Social Proof
"Sandeep in Hawthorne, California bought Sadie Ponte Pants - Black Just Now",Social Proof
Lifestyle / Music,Not Dark Pattern
Only 1 unit left in stock,Scarcity
LOW IN STOCK!! GET YOURS NOW,Scarcity
"Laurie in Urraween, Queensland bought No Brainer USB Charging Anti-Theft Backpack",Social Proof
High Arches,Not Dark Pattern
Contract free,Not Dark Pattern
"Someone in Cedarhurst, United States purchased a Sproet and Sprout Shell/Violet Stripe Bloomers",Social Proof
Your order is prioritized for 13:22 minutes!,Urgency
How Do I Rinse Off My Overnight Hair Oil Treatment?,Not Dark Pattern
Black Jewelry,Not Dark Pattern
Cart will expire in 08:19 minutes!,Urgency
Time remaining: 04:50,Urgency
0:44:56,Urgency
 Watches & Accessories ,Not Dark Pattern
"No thanks, I don't like free stuff",Misdirection
DAYS HRS MINS SECS,Urgency
Here for a limited time. 4.5 Red Bottle Sticker w/ Adam's Logo,Urgency
Limited time offer.,Urgency
3 left,Scarcity
Someone in Faizabad just bought: Pretty Love Penis Sleeve 7 inch an hour 2 minutes ago,Social Proof
Limited Time Remaining!,Urgency
I WANT TO PAY MORE LATER ;),Misdirection
Limited Time Only - Up to 30% OFF Freshwater Plants! SHOP NOW >,Urgency
Back by Demand,Not Dark Pattern
"ONLY 5 LEFT, HURRY!",Scarcity
Functional Cookies,Not Dark Pattern
Flash Sale ends in SHOP NOW  ,Urgency
" Born for adventures across land, desert, and ice. Cruise over Tarmac-free roads or adapt it to be your 'do anything' commuter. ",Not Dark Pattern
Performance Cookies,Not Dark Pattern
I am very pleased with the service I received.,Not Dark Pattern
7 customers have this in their basket,Social Proof
"Jacob in Seymour, Wisconsin, United States purchased a Bass XL just now!",Social Proof
Hurry! Only 9 left in stock.,Scarcity
 shop by trend ,Not Dark Pattern
13:09:27 HOURS MINUTES SECONDS Sale Ends Once The Timer Hits Zero!,Urgency
Delivery & support,Not Dark Pattern
SHOP TRIATHLON,Not Dark Pattern
The product you requested is not available in the selected country,Not Dark Pattern
"No thanks, I don't like winning",Misdirection
"You choose: just one box, or a  Madison Reed Membership?",Misdirection
Baby Cross Stitch & Embroidery Patterns,Not Dark Pattern
HHR remotes,Not Dark Pattern
"No, I Don't Like Discounts",Misdirection
LIMITED TIME BLOW OUT SALE UP TO 70% OFF! 110% BEST PRICE GUARANTEE!,Urgency
$69.50 For A Limited Time Details,Urgency
 Accessibility statement ,Not Dark Pattern
Hurry! Only 1 Left In Stock,Scarcity
"2,221 people have purchased this item",Social Proof
"No, thanks. I'd prefer not to save.",Misdirection
SAVE $200 OFF PUFFY,Urgency
 Data Processor Privacy Policy: https://triplelift.com/privacy ,Not Dark Pattern
"Tambria in Hattiesburg just bought Peruvian Virgin Natural Wave Hair 3 Bundles with Lace Frontal, 100% Human Virgin Hair ",Social Proof
1 item left,Scarcity
Order without free membership $69.95,Misdirection
" This product can expose you to chemicals including Hexavalent which is known to the State of California to cause cancer on birth defects or other reproductive harm. For more information, visit ",Not Dark Pattern
"Someone in Vancouver, Washington purchased a Orthofeet Men's Orthotic Insoles about 38 minutes",Social Proof
Only 5 left!,Scarcity
 Brushes ,Not Dark Pattern
"Rose in Portland, United States purchased Green Eco-Friendly iPhone XR Case about 54 minutes ago",Social Proof
 Data Processor Privacy Policy: https://casalemedia.com/ ,Not Dark Pattern
"No thanks, I'll still want to pay full price",Misdirection
Only 3 Left in Stock!,Scarcity
Limited time - final price reflects extra 29% off,Urgency
Hurry! Only 6 left in stock.,Scarcity
 We value your privacy We use cookies to improve your website experience. We also use third-party cookies for marketing purposes. Learn more. ,Not Dark Pattern
 Unstitched Fabric ,Not Dark Pattern
 Polar Lights II ,Not Dark Pattern
Shop by Health Goals,Not Dark Pattern
"No thanks, I'm not interested",Misdirection
Customer also shopped for,Misdirection
Shop Safely And Securely,Not Dark Pattern
 powered by: Cookie Information ,Not Dark Pattern
Free Shipping & Easy Returns always! ,Not Dark Pattern
Combination,Not Dark Pattern
"No Thanks, I Don't Want To Save",Misdirection
QUANTITY: *ONLY 1 LEFT,Scarcity
6 customers have this in their basket,Social Proof
GCC Compliance,Not Dark Pattern
 Please try again ,Not Dark Pattern
How Do Our Crystals Looks in Real Life?,Not Dark Pattern
"No thanks, I want to pay full price",Misdirection
commonpandacom@commonpandacom,Not Dark Pattern
"Yes, I Want To Save Money!No Thanks",Misdirection
OFFER ENDS IN: 00:32:04 TIME IS RUNNING OUT!,Urgency
Only 4 left in this size!,Scarcity
You might also like,Not Dark Pattern
Shop By Fabric,Not Dark Pattern
Chirag in Anoopshahr just got the JAYS - a-JAYS One+ about 17 minutes ago,Social Proof
 View all Ink categories ,Not Dark Pattern
 Intercoastal Performance Pant - True Navy ,Not Dark Pattern
"NO THANKS, I DON‚ÄôT WANT 15% OFF",Misdirection
Bike Parts & Components,Not Dark Pattern
üî•üëÅÔ∏è 1 person is viewing this.,Social Proof
Estimated VAT overview,Not Dark Pattern
" Your company account is blocked and you cannot place orders. If you have questions, please contact your company administrator. ",Not Dark Pattern
Hand & Foot Skin Care,Not Dark Pattern
 Best Deals of the Month: April Edition ,Not Dark Pattern
Hurry up! Only 4 left in stock,Scarcity
Accent Chairs,Not Dark Pattern
"No thanks, I don't like to save",Misdirection
 Subscribe To Us Subscribe ,Not Dark Pattern
Customers also bought,Misdirection
407 customers have viewed this item recently,Social Proof
Only 1 item(s) left in stock,Scarcity
 Kyanite Beads ,Not Dark Pattern
"No, I don't want great deals.",Misdirection
I have a strong liking to walnut. Even the sapwood can look very presentable when finished good. Thus cutting board is a great item for use and conversation and looks good. ,Not Dark Pattern
Holland Cooper,Not Dark Pattern
Recovery Best Sellers,Not Dark Pattern
Viewed 1040 times in the last 7 days,Social Proof
U.S. Vape Mail Ban FAQs,Not Dark Pattern
Áï∞Ê•≠Âêà‰Ωú Cooperation,Not Dark Pattern
6 people have looked at this in the last few hrs.,Social Proof
Limited-time Offer: Bundle a base and get 20% off,Misdirection
Sale Womens Clothing,Not Dark Pattern
Why I chose this:,Not Dark Pattern
TWO FREE PILLOWS AND 30% OFF WITH PROMO CODE,Misdirection
View Alternatives,Not Dark Pattern
11 11 Hours: 00 22 Minutes: 3223 3223 Seconds Sale Ends Once The Timer Hits Zero!,Urgency
"Security is our top priority. Our subscription payments are powered by Stripe and ReCharge, processed in a secure PCI-compliant environment to the highest industry standards. Ketolent staff never know your credit card number.",Not Dark Pattern
"Jim in Houston, USA purchased Pure Ratios: Hemp Oil CBD Patch (40mg CBD)",Social Proof
Only 22 left in stock!,Scarcity
ADD WORLD'S MOST COMFORTABLE CHAIRS,Misdirection
ONLY 3 LEFT IN STOCK!,Scarcity
Watch how its done,Not Dark Pattern
 View all Oil & Acrylic Brushes categories ,Not Dark Pattern
Get Personalised Health PlanGet Health Plan,Not Dark Pattern
Someone in Louisville Kentucky United States Purchased Gold Presidential Bracelet With Watch Buckle 9 hours ago,Social Proof
LESS THAN 5 LEFT!,Scarcity
[new-troh-pick],Not Dark Pattern
"ADHD Friendly Profile: this profile significantly reduces distractions and noise to help people with ADHD, and Neurodevelopmental disorders browse, read, and focus on the essential elements more easily.",Not Dark Pattern
Long and Tall,Not Dark Pattern
This offer is only VALID if you add to cart now!,Misdirection
"Sign up for the latest updates, products and offers",Not Dark Pattern
"Subscribing means you agree to receive our emails, more details please refer to ourprivacy policy.",Not Dark Pattern
 Shop Sale by Print ,Not Dark Pattern
